fileName,mode,time,pps,score,lines,pieces,finished,goal,timeStamp
2018_12_07_16_00_23.rep,MARATHON,8690,0.6352129,10254,22,92,False,150,2018-12-07T16-00-23
2018_12_07_16_15_04.rep,MARATHON,36724,0.6323013,249609,150,388,False,150,2018-12-07T16-15-04
2018_12_07_20_47_18.rep,MARATHON,61015,0.64902073,505389,246,660,None,None,2018-12-07T20-47-18
2018_12_07_20_57_07.rep,MARATHON,33441,0.69615144,200615,138,388,None,None,2018-12-07T20-57-07
2018_12_07_21_06_25.rep,MARATHON,8996,0.54690975,8344,20,82,None,None,2018-12-07T21-06-25
2018_12_08_14_45_53.rep,MARATHON,46013,0.5359355,196132,147,411,None,None,2018-12-08T14-45-53
2018_12_08_16_18_29.rep,GRADE MANIA,12281,0.58138585,3320,33,119,None,None,2018-12-08T16-18-29
2018_12_08_16_20_23.rep,GRADE MANIA,6288,0.65839696,1754,12,69,None,None,2018-12-08T16-20-23
2018_12_08_16_23_27.rep,GRADE MANIA,10631,0.62646973,4237,29,111,None,None,2018-12-08T16-23-27
2018_12_08_16_26_11.rep,GRADE MANIA,9487,0.60082215,2123,23,95,None,None,2018-12-08T16-26-11
2018_12_08_16_34_15.rep,GRADE MANIA,11551,0.5038525,2225,24,97,None,None,2018-12-08T16-34-15
2018_12_08_16_42_02.rep,GRADE MANIA,6573,0.35600182,700,4,39,None,None,2018-12-08T16-42-02
2018_12_08_16_44_42.rep,GRADE MANIA,9047,0.5438267,2316,18,82,None,None,2018-12-08T16-44-42
2018_12_08_16_54_02.rep,GRADE MANIA,6961,0.39649475,238,5,46,None,None,2018-12-08T16-54-02
2018_12_08_17_01_25.rep,GRADE MANIA,17864,0.64151365,12836,64,191,None,None,2018-12-08T17-01-25
2018_12_08_17_05_37.rep,GRADE MANIA,13094,0.62776846,4057,40,137,None,None,2018-12-08T17-05-37
2018_12_08_17_20_54.rep,GRADE MANIA,7804,0.5535623,1183,14,72,None,None,2018-12-08T17-20-54
2018_12_08_17_25_17.rep,GRADE MANIA,13547,0.69978595,6819,48,158,None,None,2018-12-08T17-25-17
2018_12_08_17_53_57.rep,GRADE MANIA,13652,0.63726926,4441,43,145,None,None,2018-12-08T17-53-57
2018_12_08_18_02_06.rep,MARATHON,28095,0.68766683,136076,111,322,None,None,2018-12-08T18-02-06
2018_12_08_19_16_49.rep,GRADE MANIA,6065,0.6430338,1568,11,65,None,None,2018-12-08T19-16-49
2018_12_08_21_45_48.rep,MARATHON,33637,0.61182624,146188,123,343,None,None,2018-12-08T21-45-48
2018_12_08_22_00_58.rep,MARATHON,38951,0.63772434,196216,152,414,None,None,2018-12-08T22-00-58
2018_12_08_22_15_45.rep,MARATHON,41986,0.6516458,268365,167,456,None,None,2018-12-08T22-15-45
2018_12_08_22_29_43.rep,MARATHON,47502,0.65807754,340556,193,521,None,None,2018-12-08T22-29-43
2018_12_08_22_52_10.rep,MARATHON,74320,0.62567276,607510,293,775,None,None,2018-12-08T22-52-10
2018_12_09_10_28_00.rep,MARATHON,28328,0.71589947,152888,118,338,None,None,2018-12-09T10-28-00
2018_12_09_10_57_53.rep,MARATHON,106139,0.6851393,1175273,467,1212,None,None,2018-12-09T10-57-53
2018_12_09_12_18_24.rep,GRADE MANIA,12983,0.65162134,7447,41,141,None,None,2018-12-09T12-18-24
2018_12_09_12_28_41.rep,GRADE MANIA,20051,0.688245,15276,77,230,None,None,2018-12-09T12-28-41
2018_12_09_12_34_54.rep,GRADE MANIA,18841,0.6369089,11287,67,200,None,None,2018-12-09T12-34-54
2018_12_09_13_13_06.rep,GRADE MANIA,8575,0.61574346,3307,24,88,None,None,2018-12-09T13-13-06
2018_12_09_13_14_43.rep,GRADE MANIA,5632,0.59659094,285,8,56,None,None,2018-12-09T13-14-43
2018_12_09_14_18_35.rep,GRADE MANIA,10720,0.64365673,4000,31,115,None,None,2018-12-09T14-18-35
2018_12_09_14_21_16.rep,GRADE MANIA,6962,0.6291296,1778,15,73,None,None,2018-12-09T14-21-16
2018_12_09_15_16_01.rep,PHANTOM MANIA,2485,1.0865191,944,4,45,None,None,2018-12-09T15-16-01
2018_12_09_15_18_12.rep,GRADE MANIA,5596,0.6111508,781,7,57,None,None,2018-12-09T15-18-12
2018_12_09_22_24_57.rep,MARATHON,349481,0.69548845,4935138,1613,4051,None,None,2018-12-09T22-24-57
2018_12_10_16_20_42.rep,MARATHON,42278,0.7620985,396631,199,537,None,None,2018-12-10T16-20-42
2018_12_10_17_38_59.rep,GRADE MANIA,17063,0.6294321,6911,57,179,None,None,2018-12-10T17-38-59
2018_12_10_17_44_25.rep,GRADE MANIA,18686,0.6871455,13787,72,214,None,None,2018-12-10T17-44-25
2018_12_10_17_47_29.rep,GRADE MANIA,10653,0.6702337,4095,34,119,None,None,2018-12-10T17-47-29
2018_12_10_17_58_11.rep,GRADE MANIA,18890,0.68925357,9913,72,217,None,None,2018-12-10T17-58-11
2018_12_10_18_02_38.rep,GRADE MANIA,11996,0.68022674,6568,40,136,None,None,2018-12-10T18-02-38
2018_12_10_18_08_14.rep,GRADE MANIA,19112,0.70950186,16667,76,226,None,None,2018-12-10T18-08-14
2018_12_10_18_10_03.rep,GRADE MANIA,3106,0.4249839,4486,24,22,None,None,2018-12-10T18-10-03
2018_12_10_18_11_07.rep,GRADE MANIA,1568,0.5739796,2340,10,15,None,None,2018-12-10T18-11-07
2018_12_10_18_11_47.rep,GRADE MANIA,1940,0.49484536,1346,16,16,None,None,2018-12-10T18-11-47
2018_12_10_18_13_27.rep,GRADE MANIA,5205,0.518732,25024,60,45,None,None,2018-12-10T18-13-27
2018_12_10_18_15_02.rep,GRADE MANIA,5319,0.5640158,17242,68,50,None,None,2018-12-10T18-15-02
2018_12_10_18_15_52.rep,GRADE MANIA,2347,0.4601619,1286,14,18,None,None,2018-12-10T18-15-52
2018_12_10_18_16_36.rep,GRADE MANIA,2231,0.43030033,1292,16,16,None,None,2018-12-10T18-16-36
2018_12_10_18_18_20.rep,GRADE MANIA,2070,0.5217391,2294,16,18,None,None,2018-12-10T18-18-20
2018_12_10_18_19_13.rep,GRADE MANIA,2869,0.43917742,1554,20,21,None,None,2018-12-10T18-19-13
2018_12_10_21_17_41.rep,MARATHON,34508,0.67116815,205176,151,387,True,150,2018-12-10T21-17-41
2018_12_11_15_36_12.rep,GRADE MANIA,9992,0.6365092,4425,28,106,None,None,2018-12-11T15-36-12
2018_12_11_15_40_01.rep,GRADE MANIA,13338,0.64777327,8634,44,144,None,None,2018-12-11T15-40-01
2018_12_11_15_46_03.rep,GRADE MANIA,19581,0.6679945,11979,72,218,None,None,2018-12-11T15-46-03
2018_12_11_15_50_31.rep,GRADE MANIA,15561,0.65548486,8611,54,170,None,None,2018-12-11T15-50-31
2018_12_11_15_53_12.rep,GRADE MANIA,9010,0.6526082,3939,24,98,None,None,2018-12-11T15-53-12
2018_12_11_15_59_02.rep,GRADE MANIA,20671,0.682115,16046,79,235,None,None,2018-12-11T15-59-02
2018_12_12_17_47_20.rep,LINE RACE,5397,1.1341735,0,40,103,False,40,2018-12-12T17-47-20
2018_12_12_17_49_18.rep,LINE RACE,6000,1.2202034,0,40,123,False,40,2018-12-12T17-49-18
2018_12_12_21_14_52.rep,DIG RACE,3976,0.8603774,0,30,58,None,None,2018-12-12T21-14-52
2018_12_12_21_17_43.rep,DIG RACE,2469,1.069692,0,25,45,None,None,2018-12-12T21-17-43
2018_12_12_21_41_08.rep,DIG RACE,3433,0.8916084,0,27,52,None,None,2018-12-12T21-41-08
2018_12_12_21_45_59.rep,DIG RACE,1197,1.0033445,0,16,21,None,None,2018-12-12T21-45-59
